district2,DISTRICT,org,org_acro,sector,population,death,injuries,priv_house_full_damage,priv_house_partial_damage
Bhaktapur,BHAKTAPUR,Action Contre La Faim,ACF,Child Protection,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Adara Development,Adara,Health,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Alliance of International Doctors,AID,Health,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,American Red Cross,Red cross,WASH,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,American Red Cross,Red cross,WASH,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,AmeriCares,AmeriCares,Health,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Ankur Counseling & Training Center,ACTC,Child Protection,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Birat Nepal Medical Trust,BNMT,Child Protection,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Birat Nepal Medical Trust,BNMT,Child Protection,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Bowberos Chidos Sin Frouleros,Foundation Madrazo,Health,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Buddhist Tzu Chi Foundation,Buddhist Tzu Chi Foundation,Health,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Caritas Nepal,Caritas,Shelter NFIs,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Caritas Nepal,Caritas,Shelter NFIs,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Caritas Nepal,Caritas,Shelter NFIs,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Caritas Nepal,Caritas,Shelter NFIs,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Centre for Victims of Torture Nepal,CVT,Health,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,CESVI / Alliance 2015,CESVI / Alliance 2015,Early Recovery,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,CESVI / Alliance 2015,CESVI / Alliance 2015,Early Recovery,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Child NGO Foundation,Child,WASH,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Child NGO Foundation,Child,WASH,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Child NGO Foundation,Child,WASH,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Child NGO Foundation,Child,WASH,304651,333,2101,18900,9054
Bhaktapur,BHAKTAPUR,Child NGO Foundation,Child,WASH,304651,333,2101,18900,9054
