Organization,Orgn,District,Dist,Type,Desc,Des,TotalHH,Status,DaysSinceQuake,Population,Death,Injuries,PrivPop_Full,PrivPop_Partial,PrivProp
AAR Japan,AAR Japan,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,1299,Completed,21,336067,679,1218,81313,3092,84405
AAR Japan,AAR Japan,Dhading,Dhading,Non-Food Items,Blankets,Blankets,1299,Completed,21,336067,679,1218,81313,3092,84405
ACF,ACF,Nuwakot,Nuwakot,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),,Ongoing / In Country Stock,37,277471,1109,1050,75562,4200,79762
ACF,ACF,Nuwakot,Nuwakot,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,37,277471,1109,1050,75562,4200,79762
ACF,ACF,Rasuwa,Rasuwa,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),,Ongoing / In Country Stock,34,43300,660,771,11368,267,11635
ACF,ACF,Rasuwa,Rasuwa,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,34,43300,660,771,11368,267,11635
ACF,ACF,Rasuwa,Rasuwa,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),,Ongoing / In Country Stock,32,43300,660,771,11368,267,11635
ACF,ACF,Rasuwa,Rasuwa,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,32,43300,660,771,11368,267,11635
ACF,ACF,Nuwakot,Nuwakot,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,39,277471,1109,1050,75562,4200,79762
ACF,ACF,Nuwakot,Nuwakot,Shelter,Tool Kits,Tool Kits,,Ongoing / In Country Stock,39,277471,1109,1050,75562,4200,79762
ACTED,ACTED,Dolakha,Dolakha,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),650,Completed,47,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,Tarpaulin,Tarpaulin,20,Completed,18,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Non-Food Items,Blankets,Blankets,650,Completed,47,186557,177,662,48880,3120,52000
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,522,Completed,80,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,290,Completed,81,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,3,Completed,81,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Non-Food Items,Blankets,Blankets,210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tool Kits,Tool Kits,210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Dolakha,Dolakha,Shelter,Tarpaulin,Tarpaulin,1087,Completed,21,186557,177,662,48880,3120,52000
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),220,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,219,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Non-Food Items,Blankets,Blankets,228,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tool Kits,Tool Kits,220,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),127,Completed,67,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),56,Completed,67,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),140,Completed,69,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),90,Completed,69,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),151,Completed,71,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),160,Completed,72,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),74,Completed,72,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),75,Completed,74,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),58,Completed,74,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),1074,Ongoing / In Country Stock,100,186557,177,662,48880,3120,52000
